UA,品牌,型号
SM-P905V,三星,GALAXY Note PRO 12.2 LTE
SM-G5510,三星,GALAXY On5
AUM-TL20,,
i7,,
1871-A0,,
HTC E9pw,,
NX541J,,
R9,,
K-Touch X7,,
MP1611,,
16th Plus,,
GN9007,,
ZTE V0840,,
T1-A23L,,
H8296,,
PLK-TL01H,,
OPPO A51,OPPO,A51
MediaPad 7 Youth,,
NX511J,,
A11,,
GS53-6,,
HUAWEI HN3-U01,,
SCH-P709,,
2014821,,
MI 3W,小米,3W
AWM-A0,,
SM-G9006W,三星,GALAXY S5
Ramos M7,,
LYA-TL00,,
ZTE BA601,,
haipainoble S1,,
vivo Y927,vivo,Y927
Onefive C3,,
NX503A,,
SM-T2519,三星,GALAXY Tab Q
Lenovo K32c30,,
DOOV A6,,
ZTE U950,,
HUAWEI C8817E,,
HTC U-1w,,
SM-J3300,三星,GALAXY J3
SM-N900,三星,GALAXY Note 3
F100S,,
HRY-TL00,,
F100B,,
GM-T6,,
HUAWEI RIO-TL00,,
U81-D,,
GT-P5200,,
HUAWEI GRA-CL10,,
T1-701u,,
SM-G8750,三星,GALAXY S
N3,,
P024,,
H7,,
LD800,,
BF T25,,
SM-N9508,三星,GALAXY S8
SM-G3502I,三星,GALAXY Trend 3
HOPE-A10,,
M850,,
M2017,,
weimi7S,,
SM-G950U1,三星,GALAXY S8
vivo X6SPlus A,vivo,X6SPlus A
H10G,,
Lenovo K30-E,,
GM-Q5+,,
T1-701ua,,
Infinix X601,,
NX511J_V3,,
MI MAX 3,小米,MAX 3
HTC 809d,,
Redmi 3X,小米,红米3X
1515-A01,,
SM-G5700,三星,GALAXY On5
15 Plus,,
ivvi V2,,
LA-S6,,
SM-G9700,三星,GALAXY S10e
F106L,,
ZTE BA910,,
20160829S,,
SGP341,,
NX569J,,
X98 3G(HKC1),,
A31t,,
IPH_7,,
W909,,
SOP-S8,,
GT-S7272C,,
DOOV L5M,,
ZTE U969,,
MI 3C,小米,3C
F8331,,
HUAWEI M2-A01L,,
lephone C9,,
CMOX CM-G10 plus,,
Changhong X5,,
MNRM2CH/A,,
F103,,
Lenovo A5500,,
vivo Y22L,vivo,Y22L
ZTE B2017G,,
Lenovo S5000-H,,
A37f,,
ZTE Q529T,,
GS55-6,,
Xperia TX,,
V1824A,,
HUAWEI VNS-DL00,,
sdm710,,
K-Touch X6,,
BF_T13,,
vivo Y51n,vivo,Y51n
SM-P588C,三星,GALAXY Tab A10.1
SM-N960U,三星,GALAXY Note 9
IPH,,
ZTE Q503U,,
Z10,,
SK3-01,,
G13,,
__MODEL__,,
OWWO Q7,,
wt86047,,
M652YN,,
msm8953,,
ZTE N939Sc,,
GO T5,,
DJ-1,,
NUOFEI F1,,
OPPO R9 Plust A,OPPO,R9 Plust A
Philips I908,,
NEM-UL10,,
Lovme-T17,,
SM-G9009W,三星,GALAXY S5
lephone T7+,,
SUGAR F7,SUGAR,F7
CPH1701,,
HLTE310M,,
koobee S7,,
Tinai K1,,
I999,,
Coolpad 5367,酷派,5367
ATH-TL00,,
ATH-UL00,,
MP1713,,
LEX650,,
LG-K535,,
MC002CT,,
GT-I9508,,
SM-N9009,三星,GALAXY Note 3
Coolpad Y82-900,酷派,峰尚2
Coolpad 8737,酷派,8737
vivo X5V,vivo,X5V
X900+,,
SM-G920L,三星,GALAXY S6
HTC 802w,,
SM-G9209,三星,GALAXY S6
V1824BA,,
SM-N9108V,三星,GALAXY Note 4
DOOV L5Pro,,
HLTE200M,,
Hisense M20-M,,
LG-H422,,
HUAWEI GRA-CL00,,
SUGAR F11,SUGAR,F11
CPH1607,,
HLJ-X1-L,,
C8817D,,
1509-A00,,
vivo Y18L,vivo,Y18L
Bird L5,,
N1T,,
LG-H961N,,
ALOES,,
YLT X9-mi6,,
DOOV A8,,
M57AC,,
DOOV V15,,
ZTE M901C,,
SM-N900V,三星,GALAXY Note 3
full_hct6753_35gc_l1,,
H18,,
SM919,,
Lenovo K860i,,
DOOV L8 Plus,,
ME865,,
C96,,
Nokia X7,诺基亚,X7
Coolpad 8702,酷派,8702
Philips X596,,
BOWAY_U7,,
Lingwin,,
F109,,
lephone T2V,,
GIONEE S10B,,
Pro 7,,
SM-P555C,三星,GALAXY Tab A 9.7
BIHEE A12,,
SM-N9002,三星,GALAXY Note 3
vivo X510t,vivo,X510t
1107,,
XT1570,,
X7,,
X,,
GM-W,,
vivo Y29L,vivo,Y29L
T106,,
ZTE BV0710,,
Hisense F23,,
Lenovo A3910t30,,
Infinix X603,,
SM-G1600,三星,GALAXY Folder
HUAWEI M2-801W,,
C6502,,
ZTE BV0701,,
SM-G928F,三星,GALAXY S6 Edge+
Coolpad Y90,酷派,峰尚Pro
KOPO L6,,
T02,,
Che1-CL10,,
YEPEN,,
1711-A01,,
L18011,,
XIAOXY P7,,
OX1,,
HTC A9w,,
OKP6 Pro,,
lephone T11,,
SM-N9109W,三星,GALAXY Note 4
vivo X5Max ,vivo,X5Max
ZTE BV0710T,,
HUAWEI G7-TL00,,
SM-N920V,三星,GALAXY Note 5
GT-S7278,,
GT-I9158V,,
VOTO GT13,,
COL-TL10,,
P9,,
S9L,,
K1001_SP31P,,
GT-I9128V,,
NX513J,,
koobee S109M,,
SOP-P10,,
GT-I9502,,
YLT-X6-Plus,,
GT-I9192,,
A31u,,
YU FLY F9,,
KOPO L128,,
lephone T6+V,,
L55t,,
TCL Y660,,
ZTE Q806T,,
HLTE213T,,
Lenovo A376,,
Coolpad 8675-HD,酷派,大神F2
Lenovo K860,,
HM-I506-TL,,
PRO 7 Plus,,
SM-G900F,三星,GALAXY S5
VpadnT8,,
Q3_999,,
SM-G3606,三星,GALAXY Core Prime
vivo X5Pro V,vivo,X5Pro V
VETAS V9,,
M460A,,
Lenovo K52t38,,
GT-N7108,,
MI 9 Transparent Edition,小米,9透明尊享版
LA2-S,,
Coolpad 9976D,酷派,大神1S
HUAWEI G616-L076,,
HUAMI HM6,,
1872-A0,,
SM-N9106W,三星,GALAXY Note 4
4G+,,
M721C,,
Y61,,
SM-W2014,三星,W2014
lephone T25,,
8848 M4,,
Lenovo Z90-3,,
TCL M2M,,
laaboo D1,,
Onefive C2,,
1505-A02,,
U9500,,
N797S,,
HUAWEI C8817L,,
PP5200,,
OS103,,
MI 8 Explorer Edition,小米,8探索版
KONKA E1,,
BOWAY_X6,,
Best sonny LT999,,
V21-X,,
1503-M02,,
YQ601,,
BAC-L22,,
JDN-W09,,
SPH-L720,,
KINGSUN-F9,,
SM-G1650,三星,GALAXY Folder2
SHT-AL09,,
F1-Y900-M10-M20-B2,,
H1,,
Lenovo P2c72,,
SM-N9150,三星,GALAXY Note Edge
BLN-TL00,,
L6 vive,,
Lenovo A7600-m,,
TCL 750,,
MIX 3 The Palace Museum Edition,,
NX606J,,
GN3002L,,
CPN-AL00,,
Coolpad S6-NC1,酷派,S6
SM-G9750,三星,GALAXY S10+
Y71-811,,
V1821T,,
HLJ-GM-Q1,,
ATMAN_X5,,
XT1789-05,,
lephone T708,,
20180322D,,
NS29-Young,,
IdeaTabA1000-T,,
BOWAY U11,,
MOONSHINING-M1,,
SM-A9200,三星,GALAXY A9s
SM-E7000,三星,GALAXY E7
HUAWEI TAG-CL00,,
GT-I9300I,,
CM CM6,,
Hisense E76MINIM,,
lephone T6,,
SM-G5109,三星,GALAXY Core Max
ZTE C2016,,
CYM1-C1,,
ASUS_Z017DA,,
UOOGOU T12,,
SAGA M7,,
H8S,,
S10,,
vivo X3F,vivo,X3F
OUJIA 2019 MIX,,
Mediapad,,
L7_Max,,
8692-M02,,
Lenovo A3860,,
vivo Y17T,vivo,Y17T
LA7-L,,
HUAWEI RIO-CL00,,
lephone T16,,
Readboy_G90,,
Le X822,乐视,Max 2
ZH960,,
Hisense F30,,
Lenovo P70-t,,
SM-F9000,三星,GALAXY Fold
Pixel 2 XL,,
OPPO A33t,OPPO,A33t
DOOV L520,,
HUAWEI NXT-CL00,,
MI 4S,小米,4S
DUB-AL20,,
ZTE A0722,,
HLTE200T,,
evb3561sv_w_no2,,
PLK-UL00,,
SF101,,
DOOV L520s,,
ASUS_X003,,
MK5,,
NX616J,,
T1_two,,
SM-G9608,三星,GALAXY S9
SM-N920P,三星,GALAXY Note 5
FIG-TL00,,
R7007,,
S5,,
ZTE S2010,,
U7,,
OWWO A8,,
Pioneer C1,,
SM-T715Y,三星,GALAXY Tab S2
SM-T715C,三星,GALAXY Tab S2
LA-S33,,
1809-A01,,
Coolpad 7105,酷派,7105
OPPO A53t,OPPO,A53t
E100,,
Coolpad 8297-T01,酷派,大神F1 Plus
DOOV V18,,
M6Note,,
GT-I9200,,
S6,,
GO 50023,,
R1,,
GT-N7108D,,
vivo X5Max V,vivo,X5Max V
SM-G8508S,三星,GALAXY Alpha
X5_1,,
Lenovo A680,,
m1metal,,
H30-T10,,
ARE-TL00,,
GN3002,,
MI 4C,小米,4C
TA-1054,,
X7PLUS,,
OKP10,,
GO T6,,
Cong C1391,,
T1-821w,,
W900S,,
SM-N900L,三星,GALAXY Note 3
SM-G610M,三星,GALAXY J7 Prime
Lenovo S60-t,,
D888,,
vivo V3Max,vivo,V3Max
KOB-L09,,
BOWAY A5,,
T88Q,,
Spro 2,,
NOAIN X11,,
Bird D08,,
7722CT,,
KOPO K11,,
7 Plus,,
BF I7,,
Coolpad 8720L,酷派,8720L
Coolpad A8-931N,酷派,峰尚Max
Lenovo A5890,,
Coolpad 9976T,酷派,大神1S
GOME S1,,
N1,,
PE-UL00,,
LA9-L,,
NOAIN R9S,,
ZTE Q529E,,
HUAWEI MLA-TL00,,
SM-G3589W,三星,GALAXY Core Lite
1501-M02,,
T8,,
BAH-AL00,,
Laaboo V9,,
CMCC M761,,
HTC D728w,,
M631,,
Lenovo L38041,,
ALP-L29,,
GO T3,,
GT-N7100,,
1822-C0,,
SM-G955W,三星,GALAXY S8+
SM-N900K,三星,GALAXY Note 3
V1831A,,
NX505J,,
SM-G3508J,三星,GALAXY Trend 3
SM-G7509,三星,GALAXY Mega 2
A1,,
InFocus M310,,
XT1085,,
VKY-TL00,,
CLT-TL00,,
SM-N910L,三星,GALAXY Note 4
BBB100-4,,
Xshitou-NT18,,
Lenovo PB1-770N,,
lephone W7,,
IdeaTabA1020-T,,
Coolpad 8739,酷派,峰尚N1S
SM-N910U,三星,GALAXY Note 4
BenWee L5,,
DOOV L7,,
QK-6385T,,
Coolpad 5263S,酷派,5263S
SM-G3509I,三星,GALAXY Trend 3
DOOV L1C,,
SM-G928V,三星,GALAXY S6 Edge+
S1 Pro,,
ZTE C880A,,
m1,,
1801-T0,,
XT1635-03,,
evb3561sv_w_65_m0,,
V188S,,
R8007,,
Coolpad 7620L,酷派,K1
N6,,
SM-N9208,三星,GALAXY Note 5
LEX728,,
DOOV A3,,
20151209T,,
A30X,,
VCE-L22,,
F8,,
ivvi SS1-01,,
MAICHAI,,
C6603,,
SM-G5306W,三星,GALAXY Grand Prime
502SO,,
F3,,
Coolpad A8-932,酷派,峰尚Max
ali6735m_35gc_a_l1,,
ONE A2001,,
P70 4G(H2V8),,
GT-I9300,,
SUGAR Y7,SUGAR,Y7
vivo Y11iW,vivo,Y11iW
20180102Q,,
HM NOTE 1TD,,
8X mini,,
8X,,
BGO-DL09,,
HTC M10u,,
LDN-TL10,,
DOOV L9 mini,,
G9901,,
HUAWEI MT2-L01,,
X1S,,
GT-S7278U,,
LDN-TL00,,
ZTE Q801U,,
HOPE-A7,,
HUAWEI P7-L09,,
SHOWN_P1+,,
ivvi V1,,
SM-G955N,三星,GALAXY S8+
1803-A01,,
C730Lw,,
Lenovo L78071,,
ramos MOS 1,,
SM-T325,三星,GALAXY Tab PRO 8.4
SM-T585C,三星,GALAXY Tab A 10.1
Lenovo S820e,,
SM-G9006V,三星,GALAXY S5
C910,,
G620S-UL00,,
FEITU,,
X805,,
Lenovo TB-7304N,,
HUAWEI,,
DOOV A11,,
CLT-AL00l,,
SOP-N1,,
Lenovo S90-t,,
PLK-TL00,,
V1831T,,
2014112,,
koobee S301T,,
mytel,,
OPSSON_Q1,,
JC-V9,,
X21,,
NX508J,,
Coolpad 5956,酷派,5956
ZUK Z1,,
ChaoruiA,,
V1838T,,
SS8857,,
Sun001,,
ANE-LX1,,
ATH-CL00,,
Coolpad A8-931,酷派,峰尚Max
DRA-TL00,,
V21(X21S),,
KT-960-A,,
vivo X3t,vivo,X3t
P98 3G(M1A5),,
cm84,,
LA-V9,,
ASUS_Z011D,,
H129,,
M6SPlus,,
EYU T53,亿优,T53
8298-M02,,
PIC,,
HUIZUU Xs,,
ZTE A880,,
SM-N9005,三星,GALAXY Note 3
SUGAR S11,SUGAR,S11
HTC M8Sd,,
OPSSON,,
KNT-TL10,,
Lovme,,
HUAWEI MT1-U06,,
HTC M8St,,
Lenovo L58041,,
Lenovo K50-t5,,
C106-6,,
ChanghongT02,,
2013023,,
MP1710,,
BF M20,,
vivi v9,,
GM-Q5,,
vivo X7Plus L,vivo,X7Plus L
C6902,,
HWI,,
R8205,,
JD-T,,
A33w,,
SM-A750GN,三星,GALAXY A7
vivo Y22iL,vivo,Y22iL
Coolpad V1-C,酷派,铂顿
VFD 710,,
Hisense D2-M,,
R11,,
ChanghongW01,,
BOWAY L6,,
SM-A300G,三星,GALAXY A3
SM-G935S,三星,GALAXY S7 Edge
XT1032,,
GOME 2018X38A,,
Coolpad 5890,酷派,5890
XT1056,,
M10,,
C1230L,,
M611D,,
Coolpad 8017,酷派,8017
ASUS_Z01RD,,
LON,,
Coolpad 8675-W00,酷派,大神F2
GT-N7000,,
H88,,
ZTE BA602,,
R8200,,
DOOV T21,,
JAT-TL00,,
sm-j700f,三星,GALAXY J7
Coolpad Y70 C,酷派,Y70-C
ivvi SS1-03,,
Hisense E77,,
PYK1,,
NX551J,,
　　,,
KINGSUN-F,,
X86,,
Coolpad Y82-520,酷派,峰尚2
4G ,,
Lenovo A606,,
SM-G7108V,三星,GALAXY Grand 2
SK3-02,,
Lenovo A3580,,
KONKA D6+,,
Y01(YP01),,
BKL,,
LGM-V300L,,
PH-1,,
HTC D816w,,
GM-T1,,
Q6,,
Coolpad 5879,酷派,5879
LG-H870DS,,
ifive mini 4S,,
JXD-T55,,
haipainoble S8,,
E6653,,
CLT-L29,,
SAGA M8,,
98 八核(M1E3),,
DIM 7S,,
K3DX-V5G,,
K012,,
MLLED R9,,
M353,,
SM-C900Y,三星,GALAXY C9 Pro
wolunka,,
TONAINE T95,,
HUAWEI G7-UL20,,
Lenovo A320t,,
AoleDior,,
U8818,,
GT-I8200,,
F100A,,
ZTE V890,,
HUAWEI Y300-0000,,
POT-AL00a,,
GREAT M9,,
CM CM5,,
HTC 802t,,
D6653,,
Lenovo PB2-670N,,
YLT X9,,
GT-I9507V,,
VDVD IX21,,
x-apple,,
Lenovo L38011,,
T805S,,
ZTE G720T,,
INE,,
Note9,,
Lenovo Z90-7,,
HUAWEI C199,,
unknown,,
koobee A3M,,
SHV-E300S,,
H60-L03,,
HLA Note3,,
koobee M9,,
ZTE B880,,
vivo V3Max L,vivo,V3Max L
ROAM_CAT M8,,
M1816,,
vivo Y37L,vivo,Y37L
Y07,,
T07,,
GT-I9220,,
GT-N7102,,
JY-S3,,
V99,,
YUSUN A7,,
Coolpad 8690,酷派,大神X7
ZTE Q701C,,
F303,,
ivvi K5,,
Bestsonny_LT988,,
koobee S206M,,
F108,,
AGS2-W09,,
LG-D859,,
MHA,,
U10,,
M760,,
A368,,
LM-Q710.FG,,
T9,,
LA-X4,,
R823T,,
COMIO A8,,
MI PAD,小米,PAD
NX611J,,
HUAWEI CRR-UL20,,
msm8998,,
Coolpad 8715,酷派,8715
vivo Y20T,vivo,Y20T
SM-T231,三星,GALAXY Tab 4
Lovme-T9,,
Lenovo A820t,,
M9s,,
koobee S309,,
ivvi i3P-02,,
ZTE BA610T,,
M612C,,
VTR-L29,,
leBest R11,,
GM-Q5 ,,
A830,,
HUAWEI Y511-T00,,
koobee S503,,
D300,,
L3,,
LA-S1 Volte,,
E150,,
U63YR,,
N918St,,
BOWAY L2,,
Mediapad 10,,
Lenovo 2 A7-30TC,,
ivvi V1M,,
vivo X3V,vivo,X3V
ZTE V0721,,
Lovme-T16,,
VPad-A107,,
BOWAY_V95Pro,,
V18,,
R11S,,
MI 2S,小米,2S
LA-S31,,
SM-G925F,三星,GALAXY S6 Edge
NEO,,
DOOV L5,,
UOOGOU S2,,
KT-101-A,,
X9(20160103),,
GT-I9128I,,
DOOV A12,,
K2,,
PBDT00,,
WAS-LX2,,
Lenovo K31-t3,,
OPPO A59t,OPPO,A59t
XT1585,,
Lenovo X2-TO,,
Coolpad 5721,酷派,5721
XT1710-08,,
SUGAR F9,SUGAR,F9
NOAIN M8,,
HUIZUU Y17,,
GT-S7568I,,
LC-1036A,,
Redmi Note 5 Pro,小米,红米Note 5 Pro
S7,,
GT-I9505,,
E6533,,
HANZHONG,,
G699,,
ChanghongC02,,
NX507J,,
SM-C7108,三星,GALAXY C8
VOGA 55909,,
H008,,
KOOMII-FOT9,,
Hisense F23M,,
CLT-TL01,,
DOOV M1t,,
koobee H9L,,
PROTRULY V10S,,
SUPERJO,,
Laaboo V3,,
FIG-LX1,,
GN5001L,,
ATH-TL00H,,
OYSIN P10,,
SM-C1158,三星,GALAXY K Zoom
LA-S9,,
vivo X3S W,vivo,X3S W
HYF-A1,,
H30-T00,,
E6883,,
GT-I9118,,
Lenovo P1c72,,
MuMu,,
DOOV T60,,
HUAWEI P6-T00,,
NOAIN T01,,
HUAMI HM7,,
lephone T2,,
FS8016,,
Lenovo P1c58,,
koobee S106M,,
OTOT Q1,,
Coolpad Y60-W,酷派,Y60-W
WP_V2,,
T85,,
boway U16,,
20161220,,
koobee S305M,,
ZTE Q802D,,
R6007,,
GM-Q6,,
F1f,,
CLT,,
Moto Z (2),,
P13,,
VK815,,
Galaxy S7,,
ZTE C880U,,
MX7,,
PCAM10,,
YLT X9-Mi6 plus,,
KOPO K33,,
NX608J,,
BOWAY L3,,
JL80_N797S,,
lephone T9,,
SUGAR C11,SUGAR,C11
lephone T7A,,
GN715,,
Best_sonny_LT511,,
Lenovo K910,,
Galaxy Nexus,,
SM-N7506V,三星,GALAXY Note 3 Lite
AR7,,
LA-S5,,
boway U15,,
SUGAR Y9,SUGAR,Y9
PP5600,,
H2,,
Y65,,
Readboy_G90S,,
HTC M9w,,
SM-T2558,三星,GALAXY Tab Q
SCH-N719,,
E3,,
GT-I9103,,
ZTE Q301C,,
VTR,,
SM-G9009D,三星,GALAXY S5
20180208Q,,
GOME 2017X05A,,
A680Q,,
HM 1SC,,
MI MAX（32G),小米,MAX
HUAWEI LUA-U22,,
lephone V8,,
GO N3S,,
??,,
Kumai 920,,
P001,,
vivo X5F,vivo,X5F
HS-U978,,
Hisense E76,,
ALP,,
M12,,
NX617J,,
GT-N8000,,
KOPO L8,,
vivo X6S,vivo,X6S
Lenovo S6000-H,,
SM-N9008,三星,GALAXY Note 3
M685C,,
NX535J,,
DOOV T20L,,
RVL,,
GT-S7562C,,
KONKA 711,,
20170829M,,
F8332,,
DOOV L525,,
SM-G9198,三星,领世旗舰Ⅲ
LANDROWER,,
UOOGOU-T8,,
HTC X9u,,
TCL 950,,
KOPO T9,,
HLTE310T,,
Y3,,
VIE-L29,,
GIONEE F205,,
KINGSUN-F70,,
JD-PLUS,,
8848 M5,,
BOZHIXING,,
N3S,,
MIYU 8X,,
V183,,
Meitu M4,,
SM-P355C,三星,GALAXY Tab 5
MM1104,,
M045,,
TCL 520,,
HUAWEI P7-L05,,
Coolpad Y76,酷派,Y76
M578C,,
Hisense E76mini,,
OYSIN X8,,
Hisense A1,,
U808 Quad,,
SM-W2017,三星,W2017
Coolpad S6-NT1,酷派,S6
N1C,,
MZ65Plus,,
HS-U980,,
ChanghongA100,,
NX518J,,
H90,,
TA-1052,,
Y105-TL,,
ZTE BA910T,,
SUGAR Y12,SUGAR,Y12
DOOV L1M,,
vivo S7i(t),vivo,S7i(t)
SOP-M8,,
2019,,
Philips S626L,,
SM-G386T,三星,GALAXY Avant
L50t,,
BF T20,,
SM-G930V,三星,GALAXY S7
V1600,,
XT1941-2,,
HUAWEI CRR-CL00,,
Q988,,
KOPO L1,,
SPH-D710,,
X9,,
len6737t_66_m0,,
vivo Y613,vivo,Y613
Coolpad 8721,酷派,8721
Lenovo S658t,,
FS8010,,
Lenovo A770e,,
X3,,
VCE,,
Meitu V4s,,
X9077,,
GT-I8558,,
Mi A2,小米,A2
SM-C101,三星,GALAXY S4 Zoom
DOOV V17,,
R6,,
OKP6,,
AUDIO-A7,,
Lenovo A399,,
SUGAR Y11,SUGAR,Y11
HUAWEI Y523-L176,,
VOG-AL10,,
BG2-W09,,
ramos MOS1max,,
Sunelanmobile S1,,
vivo Y613F,vivo,Y613F
R831S,,
ZTE BA602T,,
KOB-W09,,
AUDIO-A10,,
R11PLUS,,
QuadCore-R16,,
X9180,,
N360,,
ix,,
Lenovo A390t,,
ONEPLUS A6003,一加,6 Dual-SIM
尚百星平板电脑,,
Coolpad T2-W01,酷派,峰尚Pro
K-Touch 2A,,
VCR-A0,,
GT-I8552,,
GT-S7898I,,
Coolpad 7620L-W00,酷派,K1
SOYES XS,,
SF3,,
Readboy_G100A,,
NOAIN X9V,,
YQ607,,
I7 PLUS,,
koobee X905Q,,
virtual machine 2,,
ZEEMI M5,,
R827T,,
yiwanplayer,,
20160526Q,,
HTC D820t,,
305SH,,
SCH-I629,,
ZTE BV0870,,
SUGAR C9,SUGAR,C9
LEX950,,
N18,,
vivo Y913,vivo,Y913
Philips W3550,,
bodu D888,,
Hisense M20-T,,
i8,,
SA32,,
M51w,,
koobee S11,,
D9,,
LON-L29,,
Redmi Note3双网通,小米,红米Note 3
Coolpad 7231,酷派,7231
RLT,,
Full AOSP on Sofia,,
NOAIN X9 Plus,,
HTC One X10,,
Lenovo Z2,,
XT1799-2,,
荣耀7,,
GT-S7572,,
OYSIN MX7,,
SCH-i589,,
Hisense A2T,,
N80,,
CPN-W09,,
K-Touch 8818,,
A1 MINI,,
TCL P588L,,
VOTO GT11,,
Huawei H60-L11,,
L39u,,
bee E7S,,
E670Lw,,
ASUS_T00G,,
S626L,,
MP1711,,
E910,,
VM X6,,
vivo Xplay,vivo,Xplay
A6000,,
 ,,
TETC-F6S,,
R821T,,
LA-X6-Pro,,
koobee S506,,
TECNO CA6,,
SM-J510UN,三星,GALAXY J5
OPSSON V6,,
1105,,
U27,,
SM-A700YD,三星,GALAXY A7
Coolpad V1-T,酷派,铂顿
GN8001L,,
SM-N920K,三星,GALAXY Note 5
8848 M3,,
KINGSUN-F16,,
HM NOTE 1LTETD,,
MB860,,
CMR-AL09,,
Lenovo K910e,,
WA1L,,
Lenovo A768t,,
Lenovo A3800-d,,
HTC D826t,,
1201,,
Haier Y105-TL,,
SAGA V9,,
Q28,,
InFocus M460,,
H60-L04,,
NX591J,,
V9-S,,
Q8800,,
ASUS_X002,,
GN3001L,,
sdm636,,
P1,,
F301,,
HUAWEI M2-A01W,,
K88L,,
MA347,,
koobee M9 Plus,,
GM-T3,,
SM-T810,三星,GALAXY Tab S2
V15(V18),,
NX609J,,
koobee F1,,
SM-G930L,三星,GALAXY S7
GS57-6,,
sdm845,,
20170829D,,
MANN M3,,
S8,,
Coolpad 8675-F01,酷派,大神F2
SHT-W09,,
CPH1801,,
k71v1_64_bsp,,
ASUS_T00E,,
HTC D816v,,
M621C-S,,
Epade S3,,
T96,,
Lenovo A5600,,
OKP1,,
CPH1831,,
H9S,,
HUAWEI MLA-UL00,,
V3,,
KINGSUN-S5,,
R11s Plus,,
I8-4G,,
gucci,,
COMIO M5000,,
DOOV L925,,
H8SM,,
DOOV A19,,
S36,,
Hisense C20S,,
HLJ6,,
MRD-AL00,,
JSN-AL10,,
C105-8,,
TCL P528D,,
8190Q,,
G621-TL00M,,
SM-G950N,三星,GALAXY S8
C105,,
L50u,,
Lenovo X2Pt5,,
LG-F800L,,
koobee S506M,,
evb3561sv_ct_66_m0,,
GT-I9082i,,
SM-G906S,三星,GALAXY S5 Prime
4GVOLTE,,
V9S,,
V15(V21),,
P10(20160102),,
HUAWEI G750-T00,,
SAGA A909,,
rk3188,,
vivo Y33L,vivo,Y33L
DOOV V5,,
Moto X Pro,,
ASUS_X005,,
INE-LX2,,
SM-T580,三星,GALAXY Tab A 10.1
SM-G935L,三星,GALAXY S7 Edge
MI 2A,小米,2A
Hisense E81,,
SM-J210F,三星,GALAXY J1
Bird D10,,
DOOV V8,,
LG-F400L,,
koobee F2,,
ZTE A520S,,
QC_Reference_Phone,,
SOP-S7,,
LG-US998,,
QUY Q1,,
VDVD IX21(IX20),,
SM-T321,三星,GALAXY Tab Pro
M6A,,
Bestsonny_N3,,
SHUGUO S1,,
Venue8(4G),,
S100,,
LGM-G600L,,
vivo X710F,vivo,X710F
LC-926W,,
HUIZUU X,,
Mediapad10,,
ZTE V0920,,
HUAWEI Y635-TL00,,
Best sonny LT558,,
X1 7.0,,
vivo X1St,vivo,X1St
NOAIN A1,,
SM-T705,三星,GALAXY Tab S
LG-M250,,
VEGA Iron 2,,
BF_T25,,
HTC_M910x,,
A8000,,
X23,,
SM-N935F,三星,GALAXY Note 7 Edge
K960N_MT6580_32_N,,
RNE-L22,,
IPH 1,,
V1836A,,
MHA-L29,,
PAR,,
Lenovo TB-X704F,,
DOOV T20,,
U32,,
MI 1S,小米,1S
lephone T3+,,
S88,,
NXT-AL10,,
R8000,,
Hisense C20,,
HTC M8e,,
BF T27,,
GT-I9100,,
DSL C1,,
Lenovo S898t+,,
SHOWN_P6,,
学生平板M10,,
TETC-H7,,
OYSIN MX2,,
t3,,
U19,,
SM-P901,三星,GALAXY Note Pro
VOTO GT07,,
MALATA S520-H,,
Y685C,,
common,,
1821-T0,,
K350t,,
WP V7,,
YS60,,
SM-N950N,三星,GALAXY Note 8
X101,,
G8441,,
K1,,
koobee F2 Plus,,
vivo S7,vivo,S7
GIONEE F109,,
E6mini,,
Y22,,
LG-F500K,,
HUAWEI C8816D,,
Q7,,
T2,,
MLLED X9,,
Alcatel_7049D,,
SM-N910F,三星,GALAXY Note 4
TCL P331M,,
SM-J320F,三星,GALAXY J3
KONKA D1,,
Umix6,,
SM-G3518,三星,GALAXY Core 4G
VCE-TL00,,
VKY,,
Lenovo S668t,,
Lenovo A5800-D,,
SM-T700,三星,GALAXY Tab S
cayon A3,,
CMR-W09,,
CENXIN S17,,
X8,,
LG-D857,,
BOWAY_V95,,
HUAWEI NXT-L29,,
JingGang,,
SUBOR_K10PLUS,,
Lenovo A800,,
Z107K,,
PPTV,,
V850,,
OUJIA 2019,,
NOAIN X18 Plus,,
V116w-DualOS,,
OUKI P6,,
SM-J3308,三星,GALAXY J3
Lenovo P770,,
vivo Y627,vivo,Y627
AGS2-AL00,,
SAST SA9,,
CPH1903,,
Coolpad 8297D,酷派,大神F1
V15,,
OWWO 7S,,
SOP-N5,,
Lenovo A360t,,
L3 mini,,
OPSSON V8,,
H8166,,
P8,,
HUAWEI C199s,,
BIHEE A11,,
C685,,
ZTE Q519T,,
HUAWEI MT7-UL00,,
M8_,,
YINGSHAN,,
Lovme-T6,,
U5581,,
LA-S11,,
Coolpad B770S,酷派,B770S
SM-G720N0,三星,GALAXY On7
F888,,
ZTE,,
MZ63,,
F5321,,
MELROSE Android S1,,
POT-TL00a,,
Defy+,,
V101F,,
C1001,,
M512,,
Hisense A2,,
COR,,
1701-M01,,
YU FLY F8,,
OUJIA S11,,
DOOV_L6,,
Honor,,
VL8,,
vivo X520F,vivo,X520F
Coolpad Y1,酷派,Y1
AGS-W09,,
MUTUCU M8,,
Bird,,
V18H,,
KOPO A1,,
Y-518,,
Hisense M36,,
R7005,,
